"","id","measure","date","street","lat","long","type","unit","format","id_char","type_and_unit","normal_measure"
"126",10283,50,"2013/11/13","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.376068376068376
"127",10283,32,"2013/11/14","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.222222222222222
"128",10283,9,"2013/11/15","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.0256410256410256
"129",10283,24,"2013/11/16","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.153846153846154
"130",10283,26,"2013/11/17","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.170940170940171
"131",10283,35,"2013/11/18","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.247863247863248
"132",10283,19,"2013/11/19","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.111111111111111
"133",10283,16,"2013/11/20","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.0854700854700855
"134",10283,11,"2013/11/21","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.0427350427350427
"135",10283,12,"2013/11/22","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.0512820512820513
"136",10283,19,"2013/11/23","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.111111111111111
"137",10283,24,"2013/11/24","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.153846153846154
"138",10283,32,"2013/11/25","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.222222222222222
"139",10283,21,"2013/11/26","Milano -via Carlo Pascal ",45.478452,9.235016,"PM2.5","µg/m","YYYY/MM/DD","10283","PM2.5-µg/m",0.128205128205128
